0,1,1,1,1,1,1,0,0,0,2.587208222858612,10.018316214323173
1,0,0,0,0,1,1,0,0,1,-0.15765032192726824,9.911826092285105
1,0,0,0,0,1,1,1,1,1,-2.6270785532692456,9.948640092325634
1,0,0,0,0,0,1,1,1,0,2.492289891798058,10.013179015595853
1,0,0,0,0,1,0,1,1,0,-2.462726354327406,9.92099308988118
1,1,1,0,1,0,0,1,0,0,-1.2537386253167497,9.977837916514126
1,1,1,1,0,0,0,0,0,0,0.4429187369825729,10.051010943885025
0,0,1,1,1,1,0,0,1,1,0.23258518704438558,10.074213946690332
0,0,1,1,1,0,0,1,0,1,2.811741311040752,9.972563838541237
0,1,1,0,0,0,0,1,1,0,-2.9538615567601627,10.075338332461833
